"ONTOLOGY","TERM","N","DE","P.DE","FDR"
"BP","biological_process",17602,616,0.999999921634561,1
"BP","cellular process",17151,608,0.999995114689973,1
"BP","biological regulation",12248,442,0.999276401295123,1
"BP","regulation of biological process",11862,429,0.998958737686171,1
"BP","regulation of cellular process",11443,418,0.995509006021442,1
"BP","metabolic process",11428,410,0.9216275259899,1
"BP","primary metabolic process",9854,367,0.824746715798438,1
"BP","macromolecule metabolic process",9424,334,0.905384556414075,1
"BP","response to stimulus",8809,327,0.980601284364767,1
"BP","multicellular organismal process",7508,297,0.848561862192454,1
"BP","biosynthetic process",8439,286,0.970085951514117,1
"BP","cellular response to stimulus",7418,281,0.953998288631132,1
"BP","cellular component organization or biogenesis",6810,281,0.859949937237827,1
"BP","developmental process",6686,278,0.849152899429521,1
"BP","cellular component organization",6598,271,0.906960528106467,1
"BP","anatomical structure development",6129,267,0.608627415186662,1
"BP","cell communication",6592,255,0.938915487735824,1
"BP","signaling",6569,251,0.961324369429582,1
"BP","macromolecule biosynthetic process",7425,250,0.944332894065219,1
"BP","positive regulation of biological process",6305,250,0.937872198095959,1
"BP","regulation of metabolic process",6622,241,0.90704138844897,1
"BP","positive regulation of cellular process",5923,241,0.864567387481659,1
"BP","gene expression",7038,235,0.934356755590969,1
"BP","signal transduction",6056,229,0.949747550437803,1
"BP","negative regulation of biological process",5889,227,0.785978237818703,1
"BP","negative regulation of cellular process",5661,220,0.745004070218306,1
"BP","multicellular organism development",4859,219,0.58019568264475,1
"BP","nucleobase-containing compound metabolic process",5915,218,0.724312961560795,1
"BP","regulation of macromolecule metabolic process",6083,218,0.924390634210508,1
"BP","localization",5378,213,0.937041144551746,1
"BP","regulation of primary metabolic process",5181,203,0.772588292427969,1
"BP","cell differentiation",4537,202,0.470545009981856,1
"BP","cellular developmental process",4539,202,0.472324283739206,1
"BP","nucleic acid metabolic process",5351,201,0.570483435468662,1
"BP","regulation of biosynthetic process",5598,198,0.922088307969659,1
"BP","system development",4186,192,0.559150226737982,1
"BP","regulation of macromolecule biosynthetic process",5417,191,0.918914669054348,1
"BP","regulation of gene expression",5310,187,0.91689758764008,1
"BP","establishment of localization",4673,187,0.874877655226904,1
"BP","transport",4419,180,0.799213249161299,1
"BP","RNA metabolic process",4816,177,0.687920079660691,1
"BP","nucleobase-containing compound biosynthetic process",4926,171,0.939498037880769,1
"BP","nucleic acid biosynthetic process",4628,165,0.856350296300418,1
"BP","protein metabolic process",4188,162,0.75912782797022,1
"BP","RNA biosynthetic process",4522,162,0.830714144341764,1
"BP","regulation of response to stimulus",4201,162,0.959816355511238,1
"BP","regulation of nucleobase-containing compound metabolic process",3930,156,0.695682138504896,1
"BP","response to stress",4061,153,0.76891757727704,1
"BP","regulation of cell communication",3677,150,0.931686350812198,1
"BP","regulation of signaling",3673,148,0.951222921240582,1
"BP","response to chemical",3950,146,0.706402960904458,1
"BP","positive regulation of metabolic process",3577,145,0.765184441715292,1
"BP","regulation of RNA metabolic process",3633,143,0.754673402000455,1
"BP","organelle organization",3591,140,0.921529246450292,1
"BP","cellular component biogenesis",3442,138,0.802398902219366,1
"BP","animal organ development",3099,138,0.601490075409832,1
"BP","regulation of biological quality",3110,138,0.445206188115218,1
"BP","positive regulation of macromolecule metabolic process",3248,133,0.715617969996084,1
"BP","regulation of multicellular organismal process",3137,132,0.584720430405311,1
"BP","intracellular signal transduction",3145,131,0.839385209499553,1
"BP","cell development",2943,130,0.720256212324649,1
"BP","regulation of signal transduction",3217,129,0.934613577673298,1
"BP","DNA-templated transcription",3398,128,0.914525586559671,1
"BP","nervous system development",2654,128,0.556891781653,1
"BP","cellular component assembly",3181,126,0.882562381983107,1
"BP","macromolecule localization",2983,125,0.711133048110564,1
"BP","regulation of DNA-templated transcription",3267,123,0.921431929991463,1
"BP","anatomical structure morphogenesis",2837,123,0.862874411648016,1
"BP","regulation of RNA biosynthetic process",3279,123,0.924286261902396,1
"BP","cell surface receptor signaling pathway",2887,117,0.833356974045469,1
"BP","cellular localization",2495,115,0.340243858857245,1
"BP","negative regulation of metabolic process",3313,113,0.86502468080321,1
"BP","regulation of developmental process",2575,113,0.632981306208212,1
"BP","positive regulation of biosynthetic process",2741,112,0.73927236532655,1
"BP","regulation of cellular component organization",2531,110,0.791359802768362,1
"BP","intracellular protein localization",2492,109,0.578960694901672,1
"BP","positive regulation of macromolecule biosynthetic process",2613,106,0.775245207159414,1
"BP","transcription by RNA polymerase II",2688,105,0.802548984777355,1
"BP","catabolic process",2793,104,0.827661160040351,1
"BP","regulation of transcription by RNA polymerase II",2569,103,0.723137213477865,1
"BP","negative regulation of macromolecule metabolic process",3090,103,0.888171623325515,1
"BP","macromolecule modification",2273,99,0.482843914296858,1
"BP","positive regulation of response to stimulus",2441,99,0.720907983406837,1
"BP","negative regulation of biosynthetic process",2848,95,0.853660136117794,1
"BP","tissue development",2080,94,0.49498329397229,1
"BP","negative regulation of macromolecule biosynthetic process",2773,91,0.876589300843431,1
"BP","positive regulation of nucleobase-containing compound metabolic process",2099,91,0.533739023759751,1
"BP","protein modification process",2093,90,0.618886135331841,1
"BP","cell population proliferation",2067,89,0.449269869028033,1
"BP","regulation of localization",2071,89,0.642526588999385,1
"BP","immune system process",2667,88,0.952776416962067,1
"BP","regulation of intracellular signal transduction",2093,88,0.761705132616146,1
"BP","establishment of localization in cell",1988,87,0.535392189380714,1
"BP","intracellular signaling cassette",2024,87,0.735454823910263,1
"BP","cell death",2018,86,0.492081830395191,1
"BP","neurogenesis",1829,86,0.741894877763319,1
"BP","programmed cell death",2014,85,0.528841950238839,1
"BP","nitrogen compound transport",1926,85,0.354394947761537,1
"BP","establishment of protein localization",1739,84,0.135847598857493,1
"BP","system process",2321,83,0.83948523232418,1
"BP","apoptotic process",1938,83,0.487351328050899,1
"BP","response to external stimulus",2475,83,0.9361420202536,1
"BP","cellular response to stress",1915,82,0.500481866160782,1
"BP","cell motility",1907,81,0.633967173464682,1
"BP","cellular response to chemical stimulus",2285,81,0.949088491030045,1
"BP","positive regulation of RNA metabolic process",1914,80,0.690931488603756,1
