"ENTREZID","SYMBOL","GENENAME"
"100101467","ZSCAN30","zinc finger and SCAN domain containing 30"
"100128124","HGC6.3","uncharacterized LOC100128124"
"100130987","LOC100130987","uncharacterized LOC100130987"
"100170220","SNAR-E","small NF90 (ILF3) associated RNA E"
"100188947","HECTD2-AS1","HECTD2 antisense RNA 1"
"10020","GNE","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"
"100287010","LOC100287010","uncharacterized LOC100287010"
"100302152","MIR548N","microRNA 548n"
"100303755","PET117","PET117 cytochrome c oxidase chaperone"
"100313884","MIR548H4","microRNA 548h-4"
"100329167","AAA1","aortic aneurysm, familial abdominal 1"
"100505385","IQCJ-SCHIP1","IQCJ-SCHIP1 readthrough"
"100505741","SPATA1","spermatogenesis associated 1"
"100505967","LINC00645","long intergenic non-protein coding RNA 645"
"100506443","ITPKB-IT1","ITPKB intronic transcript 1"
"100506783","HOXD-AS2","HOXD cluster antisense RNA 2"
"100507303","SNHG19","small nucleolar RNA host gene 19"
"100507582","BHLHE40-AS1","BHLHE40 antisense RNA 1"
"100528031","FKBP1A-SDCBP2","FKBP1A-SDCBP2 readthrough (NMD candidate)"
"100529207","RAD51L3-RFFL","RAD51L3-RFFL readthrough"
"100533975","SLMO2-ATP5E","SLMO2-ATP5E readthrough"
"100616332","MIR4716","microRNA 4716"
"100775107","RBM5-AS1","RBM5 antisense RNA 1"
"100873065","PTCHD1-AS","PTCHD1 and PHEX antisense RNA"
"100874089","RUVBL1-AS1","RUVBL1 antisense RNA 1"
"10095","ARPC1B","actin related protein 2/3 complex subunit 1B"
"100996928","FMC1-LUC7L2","FMC1-LUC7L2 readthrough"
"10114","HIPK3","homeodomain interacting protein kinase 3"
"1012","CDH13","cadherin 13"
"10126","DNAL4","dynein axonemal light chain 4"
"10168","ZNF197","zinc finger protein 197"
"10171","RCL1","RNA terminal phosphate cyclase like 1"
"10181","RBM5","RNA binding motif protein 5"
"101927465","CLYBL-AS1","CLYBL antisense RNA 1"
"101928248","LINC01229","long intergenic non-protein coding RNA 1229"
"101928622","LOC101928622","uncharacterized LOC101928622"
"102","ADAM10","ADAM metallopeptidase domain 10"
"102467146","MAFTRR","MAF transcriptional regulator RNA"
"10267","RAMP1","receptor activity modifying protein 1"
"10381","TUBB3","tubulin beta 3 class III"
"10398","MYL9","myosin light chain 9"
"10456","HAX1","HCLS1 associated protein X-1"
"10526","IPO8","importin 8"
"10535","RNASEH2A","ribonuclease H2 subunit A"
"10537","UBD","ubiquitin like modifier D"
"10556","RPP30","ribonuclease P/MRP subunit p30"
"10617","STAMBP","STAM binding protein"
"10631","POSTN","periostin"
"10667","FARS2","phenylalanyl-tRNA synthetase 2, mitochondrial"
"10737","RFPL3S","RFPL3 antisense"
"10758","TRAF3IP2","TRAF3 interacting protein 2"
"10777","ARPP21","cAMP regulated phosphoprotein 21"
"10778","ZNF271P","zinc finger protein 271, pseudogene"
"10814","CPLX2","complexin 2"
"10845","CLPX","caseinolytic mitochondrial matrix peptidase chaperone subunit X"
"10861","SLC26A1","solute carrier family 26 member 1"
"10869","USP19","ubiquitin specific peptidase 19"
"10891","PPARGC1A","PPARG coactivator 1 alpha"
"10901","DHRS4","dehydrogenase/reductase 4"
"10919","EHMT2","euchromatic histone lysine methyltransferase 2"
"10922","FASTK","Fas activated serine/threonine kinase"
"10957","PNRC1","proline rich nuclear receptor coactivator 1"
"11020","IFT27","intraflagellar transport 27"
"1106","CHD2","chromodomain helicase DNA binding protein 2"
"11060","WWP2","WW domain containing E3 ubiquitin protein ligase 2"
"11097","NUP42","nucleoporin 42"
"11102","RPP14","ribonuclease P/MRP subunit p14"
"11141","IL1RAPL1","interleukin 1 receptor accessory protein like 1"
"11174","ADAMTS6","ADAM metallopeptidase with thrombospondin type 1 motif 6"
"11179","ZNF277","zinc finger protein 277"
"11189","CELF3","CUGBP Elav-like family member 3"
"11227","GALNT5","polypeptide N-acetylgalactosaminyltransferase 5"
"112885","PHF21B","PHD finger protein 21B"
"1130","LYST","lysosomal trafficking regulator"
"11311","VPS45","vacuolar protein sorting 45 homolog"
"113130","CDCA5","cell division cycle associated 5"
"11315","PARK7","Parkinsonism associated deglycase"
"11338","U2AF2","U2 small nuclear RNA auxiliary factor 2"
"114804","RNF157","ring finger protein 157"
"114818","KLHL29","kelch like family member 29"
"115024","NT5C3B","5'-nucleotidase, cytosolic IIIB"
"115106","HAUS1","HAUS augmin like complex subunit 1"
"115294","PCMTD1","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"115330","GPR146","G protein-coupled receptor 146"
"116","ADCYAP1","adenylate cyclase activating polypeptide 1"
"116372","LYPD1","LY6/PLAUR domain containing 1"
"116449","CLNK","cytokine dependent hematopoietic cell linker"
"116987","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"116988","AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
"117584","RFFL","ring finger and FYVE like domain containing E3 ubiquitin protein ligase"
"1182","CLCN3","chloride voltage-gated channel 3"
"118490","MSS51","MSS51 mitochondrial translational activator"
"118663","BTBD16","BTB domain containing 16"
"119","ADD2","adducin 2"
"120066","OR5P3","olfactory receptor family 5 subfamily P member 3"
"120376","POU2AF3","POU class 2 homeobox associating factor 3"
"122416","ANKRD9","ankyrin repeat domain 9"
"123624","AGBL1","AGBL carboxypeptidase 1"
"124245","ZC3H18","zinc finger CCCH-type containing 18"
"127687","C1orf122","chromosome 1 open reading frame 122"
"1284","COL4A2","collagen type IV alpha 2 chain"
"1290","COL5A2","collagen type V alpha 2 chain"
"129446","XIRP2","xin actin binding repeat containing 2"
"129531","MITD1","microtubule interacting and trafficking domain containing 1"
"129880","BBS5","Bardet-Biedl syndrome 5"
"1305","COL13A1","collagen type XIII alpha 1 chain"
"130535","KCTD18","potassium channel tetramerization domain containing 18"
"1316","KLF6","KLF transcription factor 6"
"132204","SYNPR","synaptoporin"
"133015","PACRGL","parkin coregulated like"
"133584","EGFLAM","EGF like, fibronectin type III and laminin G domains"
"134111","UBE2QL1","ubiquitin conjugating enzyme E2 QL1"
"134548","SOWAHA","sosondowah ankyrin repeat domain family member A"
"1347","COX7A2","cytochrome c oxidase subunit 7A2"
