"Description","N","DE","P.DE","FDR"
"Metabolic pathways",1530,66,0.233143486782614,1
"Pathways of neurodegeneration - multiple diseases",462,24,0.175928283702479,1
"IgSF CAM signaling",294,21,0.113782169984117,1
"Amyotrophic lateral sclerosis",349,20,0.0473080069647746,1
"Huntington disease",290,17,0.0747488701769022,1
"Cadherin signaling",401,16,0.684962892122454,1
"Pathways in cancer",520,16,0.983155329837898,1
"Salmonella infection",246,15,0.0936552414685044,1
"MAPK signaling pathway",298,14,0.661474723007849,1
"Endocytosis",246,14,0.292303655976879,1
"Cytoskeleton in muscle cells",233,14,0.302987398723062,1
"Prion disease",257,14,0.103595075502766,1
"Motor proteins",193,13,0.098427101164364,1
"Parkinson disease",252,13,0.162118051677096,1
"Human papillomavirus infection",326,13,0.812065861652668,1
"Alzheimer disease",370,12,0.843615038822562,1
"cAMP signaling pathway",224,11,0.518330354520836,1
"Neuroactive ligand-receptor interaction",359,11,0.725591530409954,1
"Thermogenesis",220,11,0.251507441357435,1
"Shigellosis",242,10,0.636910015320386,1
"MicroRNAs in cancer",315,10,0.608914821565804,1
"Calcium signaling pathway",251,9,0.893458693114453,1
"Neuroactive ligand signaling",198,9,0.588461062444713,1
"PI3K-Akt signaling pathway",350,9,0.988651489382413,1
"Cellular senescence",155,9,0.320622357933915,1
"Tight junction",170,9,0.383052678504578,1
"Neutrophil extracellular trap formation",168,9,0.122904074048058,1
"Pathogenic Escherichia coli infection",197,9,0.469630294735508,1
"Yersinia infection",135,9,0.209050059224473,1
"Epstein-Barr virus infection",195,9,0.448981881064018,1
"Glycerophospholipid metabolism",100,8,0.0942296676512445,1
"Polycomb repressive complex",83,8,0.0476849397815568,1
"Cell cycle",157,8,0.34707368697844,1
"mTOR signaling pathway",154,8,0.481485762019222,1
"Osteoclast differentiation",127,8,0.235511631452215,1
"Focal adhesion",201,8,0.875902691495174,1
"Pancreatic secretion",98,8,0.059136145425104,1
"Tuberculosis",169,8,0.345347430263987,1
"Kaposi sarcoma-associated herpesvirus infection",190,8,0.579456560223937,1
"Coronavirus disease - COVID-19",226,8,0.420625047765465,1
"Proteoglycans in cancer",202,8,0.815726233698796,1
"Biosynthesis of amino acids",73,7,0.0167507269064229,1
"ATP-dependent chromatin remodeling",113,7,0.177201684550837,1
"Ras signaling pathway",233,7,0.950861440986885,1
"Rap1 signaling pathway",210,7,0.933914772473297,1
"Efferocytosis",154,7,0.64247941553129,1
"Adrenergic signaling in cardiomyocytes",152,7,0.673402615529982,1
